cuneichar,cuneicharAltLabel,cuneicharLabel,phoneticValues,oslIDs
http://www.wikidata.org/entity/Q87556323,"CUNEIFORM SIGN SAG TIMES NUN, U+1229E",𒊞,dilib₄,o0002283
http://www.wikidata.org/entity/Q87555739,"CUNEIFORM SIGN KA TIMES ME PLUS GI, U+12176",𒅶,emengi,o0001601
http://www.wikidata.org/entity/Q87555744,"CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ, U+12179",𒅹,emeŋarŋarₓ,o0001604
http://www.wikidata.org/entity/Q87555072,"CUNEIFORM SIGN AL TIMES KAD3, U+12025",𒀥,dubal,o0000786
http://www.wikidata.org/entity/Q87556352,"CUNEIFORM SIGN SAR, U+122AC",𒊬,"sara, sar, kiri₆, mud₆, ma₄, mu₂, sakar, šar, nisi, e₁₄, niša, nisaₓ, nisig, nissa, ša₈, sahar₂, šakar, śar, šara₇, sariₓ, se₁₅, šer₉, si₁₅, sig₁₉, šir₉",o0000524
http://www.wikidata.org/entity/Q87555749,"CUNEIFORM SIGN KA TIMES NUN, U+1217B",𒅻,"nundum, /šumdum/, numdu, numdum, numdun, nundu, nundun",o0001651
http://www.wikidata.org/entity/Q87555762,"CUNEIFORM SIGN KA TIMES SHID, U+12182",𒆂,"giguru₃, dilib₂, še₂₅, šed₁₄, šeg₁₀, silig₆, šilig₆, šiq₄",o0001675
http://www.wikidata.org/entity/Q87555155,"CUNEIFORM SIGN BU OVER BU AB, U+1204E",𒁎,sirsir,o0000930
http://www.wikidata.org/entity/Q87555159,"CUNEIFORM SIGN BU CROSSING BU, U+12050",𒁐,unu₁₂,o0000929
http://www.wikidata.org/entity/Q87556349,"CUNEIFORM SIGN SANGA2, U+122AB",𒊫,"sanga₂, sagga₂, sagga₃, sagga₄, sagga₅, sagga₆, sanga₃, sanga₄, sanga₅, sanga₆, sanga₇, sangaₓ, sangu₂, sangu₃, sangu₄, sangu₅, sangu₆, saŋa₂, saŋa₃, saŋa₄, saŋa₅, saŋa₆, saŋa₇, saŋaₓ, saŋŋa₂, saŋŋa₃, saŋŋa₄, saŋŋa₅, saŋŋa₆, saŋŋa₇",o0000523
http://www.wikidata.org/entity/Q87557005,"CUNEIFORM NUMERIC SIGN FIVE ASH TENU, U+1244D",𒐃,"5(aš), 5(iku)",o0000048
http://www.wikidata.org/entity/Q87555768,"CUNEIFORM SIGN KA TIMES TAR, U+12186",𒆆,zukura,o0001659
http://www.wikidata.org/entity/Q87557009,"CUNEIFORM NUMERIC SIGN ONE BAN2, U+1244F",𒑘,1(eše₃),o0000003
