oslid,csign,Actual,csignLabel,validLabel(T_F),cdli_label
o0027532,http://www.wikidata.org/entity/Q122915271,𒀠@s,CUNEIFORM SIGN AL SHESHIG (𒀠@s),,
o0000655,http://www.wikidata.org/entity/Q122417479,𒀀𒀭,CUNEIFORM SIGN AM3 (𒀀 & 𒀭),,
o0000098,http://www.wikidata.org/entity/Q124821898,𒀫@t,CUNEIFORM SIGN AMAR TENU (𒀫@t),,
,http://www.wikidata.org/entity/Q123155310,𒀖×𒀫,CUNEIFORM SIGN AMAR TIMES TAR (𒀖 × 𒀫),,
o0000837,http://www.wikidata.org/entity/Q122923797,𒀲×𒊩,CUNEIFORM SIGN ANSHE TIMES SAL (𒀲 × 𒊩),,
o0002481,http://www.wikidata.org/entity/Q122530215,𒌓𒀕,CUNEIFORM SIGN ARARMA (𒌓 & 𒀕),,
o0002482,http://www.wikidata.org/entity/Q123182915,𒌓𒀊,CUNEIFORM SIGN ARARMA2 (𒌓 & 𒀊),,
o0000862,http://www.wikidata.org/entity/Q120353881,𒀸𒋩,CUNEIFORM SIGN ASH & SUR (𒀸 & 𒋩),,
o0223363,http://www.wikidata.org/entity/Q122935071,𒀸@t,CUNEIFORM SIGN ASH TENU (𒀸@t),,
o0027589,http://www.wikidata.org/entity/Q122937603,𒀸×𒀸@t,CUNEIFORM SIGN ASH TIMES ASH TENU,,
o0025681,http://www.wikidata.org/entity/Q125124385,𒀸×𒁁,CUNEIFORM SIGN ASH TIMES BAD (𒀸 × 𒁁),,
,http://www.wikidata.org/entity/Q123226036,𒁁/𒁁,CUNEIFORM SIGN BAD OVER BAD  (𒁁 / 𒁁),,
o0027692,http://www.wikidata.org/entity/Q122937863,𒁁×𒀸@t,CUNEIFORM SIGN BAD TIMES ASH TENU (𒁁 × 𒀸@t),,
o0000906,http://www.wikidata.org/entity/Q122925369,𒁇×𒀭,CUNEIFORM SIGN BAR TIMES AN (𒁇 × 𒀭),,
o0037934,http://www.wikidata.org/entity/Q125124438,𒁇×𒂁,CUNEIFORM SIGN BAR TIMES DUG (𒁇 × 𒂁),,
o0018859,http://www.wikidata.org/entity/Q122915326,𒁇×𒋰,CUNEIFORM SIGN BAR TIMES TAB (𒁇 × 𒋰),,
